entity,entity_type,metric,value,period,source
CCB,standalone,Core Funding Ratio (CFR),92.7,2018-Q1,rbnz-dashboard
CCB,standalone,1-Month Mismatch Ratio,16.6,2018-Q1,rbnz-dashboard
CCB,standalone,1-Week Mismatch Ratio,7,2018-Q1,rbnz-dashboard
CCB,standalone,Top 5 Non-Bank Credit Exposures,215.9,2018-Q1,rbnz-dashboard
CCB,standalone,Top 5 Bank Credit Exposures,5.8,2018-Q1,rbnz-dashboard
CCB,standalone,Bank Exposures ≥10% of CET1,,2018-Q1,rbnz-dashboard
CCB Group,group,Total Capital Ratio,,2018-Q1,rbnz-dashboard
CCB Group,group,CET1 Ratio,,2018-Q1,rbnz-dashboard
CCB Group,group,Tier 1 Capital Ratio,,2018-Q1,rbnz-dashboard
CCB Group,group,Total Risk-Weighted Assets,,2018-Q1,rbnz-dashboard
CCB Group,group,Total Non-Performing Loans,0.4,2018-Q1,rbnz-dashboard
CCB Group,group,NPL Ratio,0,2018-Q1,rbnz-dashboard
CCB Group,group,Individual Provisions,,2018-Q1,rbnz-dashboard
CCB Group,group,Collective Provisions,5,2018-Q1,rbnz-dashboard
CCB Group,group,Return on Assets,0.8,2018-Q1,rbnz-dashboard
CCB Group,group,Return on Equity,7.2,2018-Q1,rbnz-dashboard
CCB Group,group,NIM,2,2018-Q1,rbnz-dashboard
CCB Group,group,Net Interest Income,9.3,2018-Q1,rbnz-dashboard
CCB Group,group,Trading and Hedging Gains,-1,2018-Q1,rbnz-dashboard
CCB Group,group,Fees and Commission Income,0.3,2018-Q1,rbnz-dashboard
CCB Group,group,Other Income,0,2018-Q1,rbnz-dashboard
CCB Group,group,Operating Expenses,3.3,2018-Q1,rbnz-dashboard
CCB Group,group,Profit After Tax,3.6,2018-Q1,rbnz-dashboard
CCB Group,group,Total Assets,1979.1,2018-Q1,rbnz-dashboard
CCB Group,group,Cash Position,95.3,2018-Q1,rbnz-dashboard
CCB Group,group,Net Loans and Advances,1665,2018-Q1,rbnz-dashboard
CCB Group,group,Deposits,354.7,2018-Q1,rbnz-dashboard
CCB Group,group,Equity,207.1,2018-Q1,rbnz-dashboard
CCB Group,group,Core Funding Ratio (CFR),,2018-Q1,rbnz-dashboard
CCB Group,group,1-Month Mismatch Ratio,,2018-Q1,rbnz-dashboard
CCB Group,group,1-Week Mismatch Ratio,,2018-Q1,rbnz-dashboard
CCB Group,group,Top 5 Non-Bank Credit Exposures,,2018-Q1,rbnz-dashboard
CCB Group,group,Top 5 Bank Credit Exposures,,2018-Q1,rbnz-dashboard
CCB Group,group,Bank Exposures ≥10% of CET1,,2018-Q1,rbnz-dashboard
Co-op,standalone,Total Capital Ratio,16.8,2018-Q1,rbnz-dashboard
Co-op,standalone,CET1 Ratio,14.1,2018-Q1,rbnz-dashboard
Co-op,standalone,Tier 1 Capital Ratio,14.1,2018-Q1,rbnz-dashboard
Co-op,standalone,Total Risk-Weighted Assets,1199.4,2018-Q1,rbnz-dashboard
Co-op,standalone,Total Non-Performing Loans,8.7,2018-Q1,rbnz-dashboard
Co-op,standalone,NPL Ratio,0.4,2018-Q1,rbnz-dashboard
Co-op,standalone,Individual Provisions,0.6,2018-Q1,rbnz-dashboard
Co-op,standalone,Collective Provisions,4.1,2018-Q1,rbnz-dashboard
Co-op,standalone,Return on Assets,0.2,2018-Q1,rbnz-dashboard
Co-op,standalone,Return on Equity,2.9,2018-Q1,rbnz-dashboard
Co-op,standalone,NIM,2.3,2018-Q1,rbnz-dashboard
Co-op,standalone,Net Interest Income,14.7,2018-Q1,rbnz-dashboard
Co-op,standalone,Trading and Hedging Gains,0,2018-Q1,rbnz-dashboard
Co-op,standalone,Fees and Commission Income,2.8,2018-Q1,rbnz-dashboard
Co-op,standalone,Other Income,1.6,2018-Q1,rbnz-dashboard
Co-op,standalone,Operating Expenses,16.5,2018-Q1,rbnz-dashboard
Co-op,standalone,Profit After Tax,1.3,2018-Q1,rbnz-dashboard
Co-op,standalone,Total Assets,2628.8,2018-Q1,rbnz-dashboard
Co-op,standalone,Cash Position,46.4,2018-Q1,rbnz-dashboard
Co-op,standalone,Net Loans and Advances,2292.5,2018-Q1,rbnz-dashboard
Co-op,standalone,Deposits,2200.3,2018-Q1,rbnz-dashboard
Co-op,standalone,Equity,181.5,2018-Q1,rbnz-dashboard
Co-op,standalone,Core Funding Ratio (CFR),103.8,2018-Q1,rbnz-dashboard
Co-op,standalone,1-Month Mismatch Ratio,16.6,2018-Q1,rbnz-dashboard
Co-op,standalone,1-Week Mismatch Ratio,12.6,2018-Q1,rbnz-dashboard
Co-op,standalone,Top 5 Non-Bank Credit Exposures,9.4,2018-Q1,rbnz-dashboard
Co-op,standalone,Top 5 Bank Credit Exposures,74.8,2018-Q1,rbnz-dashboard
Co-op,standalone,Bank Exposures ≥10% of CET1,2,2018-Q1,rbnz-dashboard
Heartland,standalone,Total Capital Ratio,14.1,2018-Q1,rbnz-dashboard
Heartland,standalone,CET1 Ratio,13.7,2018-Q1,rbnz-dashboard
Heartland,standalone,Tier 1 Capital Ratio,13.7,2018-Q1,rbnz-dashboard
